               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031215,            0.018407,            0.024908,             0.66597,             0.64968,             0.67687,             0.42064,            0.025893,           0.0076119,            0.028326,            0.008614,            0.008614,            0.008614
                  37,            0.030694,            0.018224,            0.025479,             0.63109,             0.61012,             0.65306,             0.39776,            0.027425,           0.0075824,            0.032763,           0.0085744,           0.0085744,           0.0085744
                  38,            0.030589,            0.018186,            0.024639,             0.64967,             0.64569,             0.69168,             0.43758,            0.025538,           0.0078391,            0.029101,           0.0085348,           0.0085348,           0.0085348
                  39,            0.030622,             0.01824,            0.024417,             0.60778,             0.65018,             0.69059,              0.4285,            0.024971,           0.0075383,            0.029448,           0.0084952,           0.0084952,           0.0084952
                  40,            0.030598,            0.018231,            0.024783,             0.63743,              0.6737,             0.68173,             0.43817,            0.025345,           0.0075666,            0.030935,           0.0084556,           0.0084556,           0.0084556
                  41,            0.030645,            0.018038,            0.023993,             0.66991,              0.6714,             0.71382,             0.45291,            0.025596,           0.0075008,             0.02938,            0.008416,            0.008416,            0.008416
                  42,            0.030347,            0.018218,            0.022619,             0.69111,              0.6583,             0.71252,             0.44999,            0.025499,           0.0073312,            0.028088,           0.0083764,           0.0083764,           0.0083764
                  43,            0.030278,            0.018406,            0.022739,             0.66242,             0.68646,             0.70141,             0.45263,            0.026019,           0.0076956,            0.032761,           0.0083368,           0.0083368,           0.0083368
                  44,            0.030302,            0.017681,            0.022907,             0.64202,             0.68604,             0.67868,             0.43129,            0.025549,           0.0076309,            0.031141,           0.0082972,           0.0082972,           0.0082972
                  45,            0.030293,            0.018133,            0.022812,             0.61535,             0.67033,             0.67753,             0.42783,            0.025952,           0.0075111,            0.033021,           0.0082576,           0.0082576,           0.0082576
                  46,            0.029613,            0.017672,            0.021756,              0.6532,             0.68721,             0.70317,             0.44428,             0.02498,           0.0075895,            0.027431,            0.008218,            0.008218,            0.008218
                  47,            0.029785,            0.017762,            0.022207,             0.63726,             0.70085,              0.7015,             0.45414,             0.02577,           0.0077062,            0.031703,           0.0081784,           0.0081784,           0.0081784
                  48,            0.030084,             0.01759,             0.02159,             0.66073,             0.68849,             0.68887,             0.44046,            0.026459,           0.0075642,            0.029142,           0.0081388,           0.0081388,           0.0081388
                  49,            0.029571,            0.017576,            0.021845,             0.69412,             0.69069,             0.73027,              0.4636,            0.026642,           0.0074286,            0.025057,           0.0080992,           0.0080992,           0.0080992
                  50,            0.029914,            0.017952,            0.021905,              0.7478,             0.66571,             0.72605,             0.47152,            0.024399,           0.0074448,              0.0335,           0.0080596,           0.0080596,           0.0080596
                  51,            0.029375,            0.017625,            0.021095,             0.69818,             0.67814,             0.70956,             0.44788,            0.025884,           0.0075191,            0.032365,             0.00802,             0.00802,             0.00802
                  52,            0.029146,             0.01768,            0.020303,             0.71091,              0.6926,             0.73973,             0.46911,             0.02528,           0.0074761,            0.027512,           0.0079804,           0.0079804,           0.0079804
                  53,            0.029241,            0.017358,            0.020307,             0.68672,             0.65264,             0.72024,              0.4607,            0.025345,           0.0074207,            0.026055,           0.0079408,           0.0079408,           0.0079408
                  54,            0.029255,            0.017415,            0.019787,             0.67285,             0.64165,             0.69416,             0.44803,            0.023595,           0.0076549,            0.027311,           0.0079012,           0.0079012,           0.0079012
                  55,            0.029185,            0.017548,            0.020028,             0.69202,             0.70917,             0.72502,              0.4697,            0.025816,           0.0078215,            0.026223,           0.0078616,           0.0078616,           0.0078616
                  56,            0.028888,            0.017062,            0.020196,             0.61931,             0.73729,             0.72101,             0.46852,             0.02562,           0.0074433,            0.025921,            0.007822,            0.007822,            0.007822
                  57,             0.02882,            0.017574,            0.018817,             0.72257,             0.66572,             0.73251,             0.47273,            0.024838,           0.0072559,            0.029018,           0.0077824,           0.0077824,           0.0077824
                  58,            0.028825,            0.017352,            0.019119,             0.75641,              0.6366,             0.73057,             0.48127,              0.0249,           0.0074695,            0.028307,           0.0077428,           0.0077428,           0.0077428
                  59,            0.028682,            0.017394,            0.018423,             0.72201,             0.66363,              0.7204,             0.46958,            0.024447,            0.007424,            0.031677,           0.0077032,           0.0077032,           0.0077032
                  60,            0.028617,            0.016949,            0.019107,             0.69944,             0.65334,             0.71712,             0.47321,            0.025519,           0.0076857,            0.033633,           0.0076636,           0.0076636,           0.0076636
                  61,            0.028426,            0.017088,             0.01835,             0.70866,             0.70501,             0.73087,             0.47812,            0.026247,           0.0073342,            0.031036,            0.007624,            0.007624,            0.007624
                  62,            0.028291,              0.0171,            0.018982,             0.69189,             0.68944,             0.72192,             0.46693,             0.02492,           0.0076522,            0.025187,           0.0075844,           0.0075844,           0.0075844
                  63,            0.028659,            0.017067,            0.017929,             0.65091,              0.6675,             0.69216,             0.45387,             0.02511,           0.0074725,            0.033598,           0.0075448,           0.0075448,           0.0075448
                  64,            0.028593,            0.017019,            0.017974,             0.72762,             0.64877,             0.71223,             0.46581,            0.025223,           0.0074572,            0.027743,           0.0075052,           0.0075052,           0.0075052
                  65,            0.028384,            0.016756,            0.018048,             0.68344,             0.70806,             0.73973,              0.4776,            0.025585,           0.0075404,            0.030295,           0.0074656,           0.0074656,           0.0074656
                  66,            0.028248,            0.017097,            0.017658,             0.71646,             0.68808,             0.74621,             0.48414,            0.025643,           0.0074214,            0.028292,            0.007426,            0.007426,            0.007426
                  67,            0.028275,            0.017103,            0.017347,             0.69086,             0.68347,             0.71268,             0.46357,            0.025221,           0.0074907,            0.033133,           0.0073864,           0.0073864,           0.0073864
                  68,            0.028174,             0.01702,            0.017623,             0.75545,             0.65253,             0.74138,             0.48407,            0.025207,           0.0074623,            0.026233,           0.0073468,           0.0073468,           0.0073468
                  69,             0.02807,            0.016843,            0.016954,             0.71714,             0.68789,              0.7359,              0.4737,            0.024991,           0.0073749,            0.029587,           0.0073072,           0.0073072,           0.0073072
                  70,             0.02767,            0.016868,            0.017218,             0.70421,             0.67282,             0.72631,             0.47902,            0.024522,           0.0073966,            0.030528,           0.0072676,           0.0072676,           0.0072676
                  71,            0.028061,            0.016773,            0.016447,             0.72931,             0.68167,             0.73963,             0.48193,            0.024384,           0.0076355,            0.027708,            0.007228,            0.007228,            0.007228
                  72,            0.027819,            0.016829,            0.016083,             0.69308,             0.67896,             0.73198,             0.48562,            0.025161,           0.0074377,            0.030153,           0.0071884,           0.0071884,           0.0071884
                  73,            0.027559,            0.016726,            0.016884,             0.75449,              0.6535,             0.72317,             0.47583,            0.025102,           0.0074064,            0.030204,           0.0071488,           0.0071488,           0.0071488
                  74,            0.027425,            0.016763,            0.016687,              0.7137,             0.68751,             0.72995,             0.47687,              0.0254,           0.0072509,            0.028744,           0.0071092,           0.0071092,           0.0071092
                  75,            0.027612,            0.016615,            0.016432,             0.70146,             0.68821,             0.72105,             0.47261,            0.025816,           0.0074182,            0.030292,           0.0070696,           0.0070696,           0.0070696
                  76,            0.027521,            0.016517,            0.016389,             0.70493,              0.7183,             0.73055,             0.48113,            0.024082,           0.0074304,            0.026801,             0.00703,             0.00703,             0.00703
                  77,            0.027263,            0.016717,            0.016972,             0.74387,             0.65507,             0.72962,             0.47455,              0.0244,           0.0073416,            0.029654,           0.0069904,           0.0069904,           0.0069904
                  78,            0.027373,            0.016519,            0.015757,             0.74884,             0.66065,             0.73138,             0.48239,            0.024117,           0.0074683,            0.031239,           0.0069508,           0.0069508,           0.0069508
